trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-135.22004765760806,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-162.86963962917164,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-64.69348182441158,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-56.42711954544363,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-149.19172272436504,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7549999999999998}",30,0,-96.7959113634519,"{0: 17, 1: 4, 2: 9, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-168.24591531987454,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-196.59154335252637,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,14,9.873548128971395,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,1.190842944788106,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-118.71009513372502,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7249999999999998}",30,0,-202.9213474709023,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-180.84992453574148,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7149999999999997}",30,0,-115.70990025354129,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-33.978591718307165,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.7049999999999997}",30,0,-177.44396774573,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
