trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.999, 'e': 0.9588496310845509}",25,-1,-115.61954471020415,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 2}",1
43,False,"{'a': 0.999, 'e': 0.9578907814534663}",20,-100,-698.1736796314744,"{0: 65, 1: 18, 2: 23, 3: 4, 4: 10}",0
44,False,"{'a': 0.999, 'e': 0.9569328906720129}",20,-7,-141.34179455481288,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 3}",0
45,False,"{'a': 0.999, 'e': 0.9559759577813408}",20,-100,-617.1432771831488,"{0: 72, 1: 5, 2: 32, 3: 3, 4: 8}",0
46,False,"{'a': 0.999, 'e': 0.9550199818235595}",20,-3,-32.038489815902565,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.999, 'e': 0.954064961841736}",20,-62,-282.5233669244287,"{0: 54, 1: 8, 2: 14, 3: 3, 4: 3}",0
48,False,"{'a': 0.999, 'e': 0.9531108968798943}",25,-24,-264.1739284372004,"{0: 33, 1: 1, 2: 9, 3: 1, 4: 5}",0
49,False,"{'a': 0.999, 'e': 0.9521577859830144}",20,-12,-128.07233759784395,"{0: 19, 1: 2, 2: 9, 3: 1, 4: 1}",0
50,False,"{'a': 0.999, 'e': 0.9512056281970314}",30,1,-113.15034036449343,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 1}",1
51,False,"{'a': 0.999, 'e': 0.9502544225688343}",25,-52,-493.09040900990914,"{0: 42, 1: 7, 2: 18, 3: 3, 4: 7}",0
52,False,"{'a': 0.999, 'e': 0.9493041681462654}",20,-56,-242.95817335601265,"{0: 49, 1: 3, 2: 19, 3: 4, 4: 1}",0
53,False,"{'a': 0.999, 'e': 0.9483548639781192}",20,-100,-451.3858637036895,"{0: 74, 1: 11, 2: 25, 3: 7, 4: 3}",0
54,False,"{'a': 0.999, 'e': 0.947406509114141}",35,-100,-637.2181836900698,"{0: 83, 1: 12, 2: 28, 3: 3, 4: 9}",0
55,False,"{'a': 0.999, 'e': 0.9464591026050269}",20,-100,-533.3129594105152,"{0: 74, 1: 8, 2: 28, 3: 4, 4: 6}",0
56,False,"{'a': 0.999, 'e': 0.9455126435024219}",20,0,-89.32091506372151,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
57,False,"{'a': 0.999, 'e': 0.9445671308589194}",20,-65,-264.71422129574466,"{0: 61, 1: 5, 2: 14, 3: 1, 4: 4}",0
58,False,"{'a': 0.999, 'e': 0.9436225637280605}",20,-38,-331.15962674002276,"{0: 36, 1: 3, 2: 10, 3: 4, 4: 5}",0
59,False,"{'a': 0.999, 'e': 0.9426789411643325}",20,-82,-507.90852516172885,"{0: 59, 1: 8, 2: 24, 3: 6, 4: 5}",0
60,False,"{'a': 0.999, 'e': 0.9417362622231682}",20,-88,-380.73417594515536,"{0: 69, 1: 10, 2: 23, 3: 2, 4: 4}",0
61,False,"{'a': 0.999, 'e': 0.9407945259609449}",25,-100,-529.281690084128,"{0: 81, 1: 14, 2: 17, 3: 5, 4: 8}",0
62,False,"{'a': 0.999, 'e': 0.9398537314349841}",20,-60,-344.5334595043707,"{0: 51, 1: 4, 2: 18, 3: 3, 4: 4}",0
63,False,"{'a': 0.999, 'e': 0.9389138777035491}",20,-46,-307.5304227003486,"{0: 38, 1: 6, 2: 17, 3: 2, 4: 3}",0
64,False,"{'a': 0.999, 'e': 0.9379749638258454}",25,-28,-211.28874194551722,"{0: 34, 1: 7, 2: 7, 3: 2, 4: 3}",0
65,False,"{'a': 0.999, 'e': 0.9370369888620197}",20,-4,-149.20029279460172,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 3}",0
66,False,"{'a': 0.999, 'e': 0.9360999518731576}",20,-100,-737.1723140944658,"{0: 69, 1: 10, 2: 26, 3: 3, 4: 12}",0
67,False,"{'a': 0.999, 'e': 0.9351638519212845}",20,9,-41.626102486444026,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.999, 'e': 0.9342286880693632}",25,13,-7.496116371716945,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
69,False,"{'a': 0.999, 'e': 0.9332944593812939}",25,-19,-127.54268042170247,"{0: 30, 1: 3, 2: 8, 3: 2, 4: 1}",0
70,False,"{'a': 0.999, 'e': 0.9323611649219126}",25,-100,-405.2108271129604,"{0: 77, 1: 21, 2: 20, 3: 3, 4: 4}",0
71,False,"{'a': 0.999, 'e': 0.9314288037569907}",20,-24,-90.91290246844073,"{0: 33, 1: 4, 2: 5, 3: 0, 4: 2}",0
72,False,"{'a': 0.999, 'e': 0.9304973749532336}",25,-89,-698.5049461650931,"{0: 73, 1: 8, 2: 16, 3: 4, 4: 13}",0
73,False,"{'a': 0.999, 'e': 0.9295668775782804}",25,-50,-208.04359296636298,"{0: 54, 1: 8, 2: 7, 3: 3, 4: 3}",0
74,False,"{'a': 0.999, 'e': 0.9286373107007021}",25,-39,-337.4826752547157,"{0: 41, 1: 6, 2: 10, 3: 1, 4: 6}",0
75,False,"{'a': 0.999, 'e': 0.9277086733900014}",20,-22,-137.85593735779295,"{0: 27, 1: 4, 2: 9, 3: 1, 4: 1}",0
76,False,"{'a': 0.999, 'e': 0.9267809647166114}",20,-68,-357.7272420319958,"{0: 58, 1: 7, 2: 15, 3: 3, 4: 5}",0
77,False,"{'a': 0.999, 'e': 0.9258541837518948}",20,-33,-164.66111303990533,"{0: 33, 1: 7, 2: 10, 3: 2, 4: 1}",0
78,False,"{'a': 0.999, 'e': 0.9249283295681429}",20,-100,-866.2427659266888,"{0: 68, 1: 5, 2: 26, 3: 8, 4: 13}",0
79,False,"{'a': 0.999, 'e': 0.9240034012385747}",25,-100,-437.1846951697717,"{0: 84, 1: 10, 2: 21, 3: 5, 4: 5}",0
80,False,"{'a': 0.999, 'e': 0.9230793978373362}",20,-100,-277.945525032256,"{0: 91, 1: 6, 2: 16, 3: 3, 4: 4}",0
81,False,"{'a': 0.999, 'e': 0.9221563184394989}",30,-26,-359.18948160035853,"{0: 37, 1: 6, 2: 4, 3: 1, 4: 8}",0
82,False,"{'a': 0.999, 'e': 0.9212341621210594}",30,8,-30.176157545886024,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
83,False,"{'a': 0.999, 'e': 0.9203129279589383}",30,-32,-436.17257930595036,"{0: 35, 1: 7, 2: 11, 3: 1, 4: 8}",0
84,False,"{'a': 0.999, 'e': 0.9193926150309794}",25,-22,-176.20276175744397,"{0: 32, 1: 3, 2: 9, 3: 0, 4: 3}",0
85,False,"{'a': 0.999, 'e': 0.9184732224159483}",20,-19,-186.89713612118896,"{0: 24, 1: 4, 2: 7, 3: 1, 4: 3}",0
86,False,"{'a': 0.999, 'e': 0.9175547491935324}",20,-42,-213.28521947862805,"{0: 48, 1: 1, 2: 7, 3: 1, 4: 5}",0
87,False,"{'a': 0.999, 'e': 0.9166371944443389}",30,-3,-162.5300004494306,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 4}",0
88,False,"{'a': 0.999, 'e': 0.9157205572498945}",20,-100,-496.395093434833,"{0: 81, 1: 12, 2: 17, 3: 1, 4: 9}",0
89,False,"{'a': 0.999, 'e': 0.9148048366926447}",20,-100,-436.73890278663,"{0: 76, 1: 5, 2: 33, 3: 2, 4: 4}",0
90,False,"{'a': 0.999, 'e': 0.913890031855952}",30,-35,-351.2835130894993,"{0: 39, 1: 10, 2: 8, 3: 2, 4: 6}",0
91,False,"{'a': 0.999, 'e': 0.912976141824096}",25,-100,-563.7694341103307,"{0: 79, 1: 11, 2: 24, 3: 3, 4: 8}",0
92,False,"{'a': 0.999, 'e': 0.912063165682272}",20,-58,-242.48177810373363,"{0: 54, 1: 9, 2: 9, 3: 3, 4: 3}",0
93,False,"{'a': 0.999, 'e': 0.9111511025165897}",25,-90,-514.7116491068588,"{0: 76, 1: 10, 2: 17, 3: 4, 4: 8}",0
94,False,"{'a': 0.999, 'e': 0.9102399514140731}",25,-42,-272.4915102687832,"{0: 44, 1: 2, 2: 15, 3: 3, 4: 3}",0
95,False,"{'a': 0.999, 'e': 0.9093297114626591}",30,-1,-128.6064943884811,"{0: 20, 1: 0, 2: 7, 3: 3, 4: 1}",1
96,False,"{'a': 0.999, 'e': 0.9084203817511963}",30,-30,-346.16734601590554,"{0: 33, 1: 6, 2: 14, 3: 3, 4: 4}",0
97,False,"{'a': 0.999, 'e': 0.9075119613694451}",35,-22,-175.46535364533946,"{0: 41, 1: 3, 2: 8, 3: 3, 4: 2}",0
98,False,"{'a': 0.999, 'e': 0.9066044494080757}",20,-100,-573.4918086386114,"{0: 83, 1: 7, 2: 15, 3: 4, 4: 11}",0
99,False,"{'a': 0.999, 'e': 0.9056978449586677}",20,-100,-669.9009336813441,"{0: 72, 1: 8, 2: 25, 3: 6, 4: 9}",0
100,False,"{'a': 0.999, 'e': 0.9047921471137089}",25,-27,-161.9507073060372,"{0: 37, 1: 2, 2: 9, 3: 2, 4: 2}",0
101,False,"{'a': 0.999, 'e': 0.9038873549665952}",25,-100,-465.1190259068228,"{0: 80, 1: 13, 2: 22, 3: 5, 4: 5}",0
102,False,"{'a': 0.999, 'e': 0.9029834676116286}",20,-100,-460.9595768623902,"{0: 77, 1: 13, 2: 19, 3: 6, 4: 5}",0
103,False,"{'a': 0.999, 'e': 0.902080484144017}",30,-100,-450.3967363082881,"{0: 81, 1: 18, 2: 19, 3: 9, 4: 3}",0
104,False,"{'a': 0.999, 'e': 0.901178403659873}",20,-100,-244.28112840948913,"{0: 90, 1: 10, 2: 14, 3: 3, 4: 3}",0
105,False,"{'a': 0.999, 'e': 0.9002772252562131}",25,-100,-539.8912899468784,"{0: 81, 1: 10, 2: 22, 3: 4, 4: 8}",0
106,False,"{'a': 0.999, 'e': 0.8993769480309569}",30,-100,-761.1432414738124,"{0: 71, 1: 8, 2: 36, 3: 6, 4: 9}",0
107,False,"{'a': 0.999, 'e': 0.8984775710829259}",20,-6,-114.51860197811126,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 1}",0
108,False,"{'a': 0.999, 'e': 0.8975790935118431}",20,-6,-93.71102099058922,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 1}",0
109,False,"{'a': 0.999, 'e': 0.8966815144183312}",25,-53,-296.00203865694283,"{0: 53, 1: 6, 2: 13, 3: 1, 4: 5}",0
110,False,"{'a': 0.999, 'e': 0.8957848329039129}",30,8,-43.721404185523745,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
111,False,"{'a': 0.999, 'e': 0.894889048071009}",20,-100,-397.8485042578184,"{0: 75, 1: 15, 2: 23, 3: 4, 4: 3}",0
112,False,"{'a': 0.999, 'e': 0.8939941590229379}",25,7,-73.70541165940847,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
113,False,"{'a': 0.999, 'e': 0.893100164863915}",25,-36,-287.43085000828387,"{0: 36, 1: 9, 2: 10, 3: 2, 4: 4}",0
114,False,"{'a': 0.999, 'e': 0.8922070646990511}",25,-6,-38.69813188343774,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.999, 'e': 0.891314857634352}",20,1,-102.45514657795327,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 1}",1
116,False,"{'a': 0.999, 'e': 0.8904235427767176}",25,-16,-108.64493510331796,"{0: 32, 1: 2, 2: 3, 3: 2, 4: 2}",0
117,False,"{'a': 0.999, 'e': 0.889533119233941}",20,-70,-359.44533125480234,"{0: 61, 1: 11, 2: 9, 3: 3, 4: 6}",0
118,False,"{'a': 0.999, 'e': 0.8886435861147071}",25,-100,-625.1798879242069,"{0: 81, 1: 9, 2: 20, 3: 5, 4: 10}",0
119,False,"{'a': 0.999, 'e': 0.8877549425285923}",20,-28,-232.56369124818107,"{0: 28, 1: 5, 2: 9, 3: 4, 4: 2}",0
120,False,"{'a': 0.999, 'e': 0.8868671875860638}",25,8,-52.48116235541491,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
121,False,"{'a': 0.999, 'e': 0.8859803203984776}",30,-33,-150.1506171926268,"{0: 52, 1: 3, 2: 3, 3: 1, 4: 4}",0
122,False,"{'a': 0.999, 'e': 0.8850943400780792}",25,-15,-126.46715044348373,"{0: 26, 1: 5, 2: 6, 3: 2, 4: 1}",0
123,False,"{'a': 0.999, 'e': 0.8842092457380011}",30,-34,-328.87575848402065,"{0: 44, 1: 3, 2: 8, 3: 3, 4: 6}",0
124,False,"{'a': 0.999, 'e': 0.8833250364922631}",25,-5,-37.7800790498049,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.999, 'e': 0.8824417114557708}",30,-58,-394.7951215640906,"{0: 56, 1: 5, 2: 17, 3: 6, 4: 4}",0
126,False,"{'a': 0.999, 'e': 0.8815592697443151}",25,-22,-137.8981862798541,"{0: 33, 1: 2, 2: 8, 3: 3, 4: 1}",0
127,False,"{'a': 0.999, 'e': 0.8806777104745708}",20,-15,-104.89242610490673,"{0: 24, 1: 5, 2: 4, 3: 0, 4: 2}",0
