trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7799999999999998}",30,0,-41.85503755094196,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,0,-249.62607041502227,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 5}",0
45,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-140.44925758076525,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-147.74639602921116,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-101.73419179919354,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-111.82262582198211,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,12,-70.68693494351795,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-86.91219292176494,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-211.90614282991038,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-100.10166508995397,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-158.690935562628,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,0,-179.806353376236,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
